department,process_volume_monthly,manual_hours_monthly,data_quality_score,implementation_months,technical_complexity,employee_impact_score,budget_required_k,estimated_roi_percent,ai_project_success
Risk,11204,75,56,11,7,6,199,-2.8,0
Finance,39487,462,78,1,9,5,39,36.6,1
Operations,25027,1280,87,15,7,5,1667,60.3,0
Operations,16822,889,85,4,3,4,651,61.4,0
Sales,48017,1904,65,11,6,6,1749,105.2,1
Operations,7468,1240,87,5,7,5,1511,40.3,0
Customer Service,28018,604,78,3,2,4,1666,60.8,1
Finance,46864,1614,80,13,3,9,1253,113.9,1
Operations,28386,771,43,10,4,6,1556,39.9,1
Risk,2200,1557,69,11,10,10,77,86,0
Sales,28746,1492,69,18,6,10,1136,63.1,1
Finance,35968,379,61,2,1,10,1264,52.1,1
Sales,23699,1743,50,7,9,3,742,111,0
Finance,45089,838,41,9,5,10,1983,27.3,1
Risk,32615,49,83,10,7,6,1275,12.9,1
Sales,6020,1822,51,18,9,1,1817,77.9,0
HR,44778,127,69,7,9,5,1407,16,1
Customer Service,36955,863,75,7,1,10,634,104.6,1
Customer Service,21429,1978,57,3,1,6,581,148.8,0
Finance,42105,1645,65,12,3,8,393,86.4,1
HR,15455,736,92,7,6,9,641,93.1,0
Sales,44549,910,46,17,2,3,1499,52.4,1
HR,14417,979,100,1,10,2,107,70.9,0
HR,5257,1488,40,5,1,4,1063,106.9,0
Sales,13545,912,97,16,1,8,1033,67.7,0
Risk,42180,1481,65,15,5,8,33,87,1
HR,5233,751,62,2,4,3,152,37.7,0
HR,31454,1933,65,9,1,4,1980,110.7,1
Risk,31635,625,84,7,4,3,1851,47.3,1
HR,7581,476,45,4,3,10,1077,34.7,0
HR,41958,634,45,18,2,2,911,67.1,1
HR,24001,1778,83,4,9,4,1251,97.2,0
Customer Service,21613,717,47,13,1,6,1856,55.5,0
Operations,34941,1739,63,1,7,5,1242,82.4,1
Risk,47586,1538,61,3,4,3,611,104.9,1
HR,25190,693,58,16,5,2,602,59.3,0
Customer Service,44439,1290,76,4,10,9,1198,56.4,1
Risk,29845,562,57,16,5,1,1633,24.3,1
Finance,46813,1607,70,1,1,9,1121,101,1
Finance,45071,876,76,5,6,1,1215,49.9,1
HR,27329,1631,69,11,9,7,308,115.4,1
Customer Service,35562,916,96,13,2,6,1588,59.6,1
Customer Service,4130,1482,81,5,7,7,1855,47.5,0
Risk,48361,297,72,4,6,3,1831,60.1,1
Risk,32370,571,49,4,5,3,1032,46.1,1
Customer Service,49798,1656,76,4,4,1,898,106,1
Risk,47721,130,51,4,4,4,1463,33.5,1
Customer Service,45442,404,93,18,6,2,26,71.4,1
Operations,3953,1876,69,18,4,10,1203,96.9,0
Customer Service,37775,780,66,16,5,8,259,48.2,1
Finance,43870,1234,78,9,6,3,1466,63.2,1
Risk,38896,1533,48,18,5,7,555,94.5,1
Customer Service,8828,713,93,2,7,7,1769,30,0
Customer Service,16034,1469,60,4,9,9,89,90,0
Risk,20244,424,51,12,10,6,1923,17.5,0
Operations,19889,1378,94,7,7,1,235,93.1,0
Operations,36820,1252,68,15,7,8,1147,96,1
Risk,49670,41,72,7,4,1,1770,35.4,1
Sales,35510,697,82,17,1,3,1097,60.6,1
Risk,15165,630,92,16,8,5,825,48.4,0
Risk,38365,1251,54,9,4,8,349,118.3,1
Operations,9140,27,41,14,1,9,867,46.8,0
Operations,35216,721,91,17,5,7,1246,86.3,1
Risk,26021,1730,78,5,8,9,1331,100.7,1
Risk,30549,1828,92,2,4,3,64,140.5,1
Risk,6118,548,83,16,8,5,848,63.7,0
Operations,37504,621,93,14,8,10,217,74.8,1
Risk,2420,1696,57,14,3,8,1259,100.9,0
Risk,44437,676,42,1,9,1,1524,19.9,1
HR,4688,185,46,3,3,8,1352,13,0
Sales,12707,868,82,7,1,7,915,93.2,0
Finance,738,515,57,15,2,1,1478,31.7,0
Sales,33472,609,83,2,6,10,351,80.6,1
HR,11299,448,77,9,10,10,715,42,0
Finance,6052,793,76,5,2,6,46,64.2,0
Risk,29416,182,97,18,6,1,1209,29.3,1
HR,5427,385,72,16,1,2,337,31.8,0
Risk,28464,1569,83,4,1,5,1317,101.3,1
Operations,11664,1282,98,12,5,2,1426,70.7,0
Customer Service,37658,91,70,7,10,10,384,18.9,1
HR,19571,1488,97,14,9,1,1146,96.2,0
Operations,48909,674,50,12,8,6,979,1.9,1
HR,6660,1865,43,3,3,8,1546,88.8,0
HR,16310,1552,98,5,3,8,1888,95.6,0
Operations,5626,1838,57,17,1,8,392,122.7,0
Finance,30509,288,43,10,3,6,1659,25.5,1
Sales,34084,1796,88,10,1,3,1969,115.5,1
Risk,46682,434,73,11,8,1,264,42,1
HR,25896,1288,68,17,1,2,1860,75,1
Risk,692,1035,63,5,5,5,1212,69.8,0
Customer Service,36913,694,61,13,9,10,1671,45.1,1
Operations,13316,1103,41,10,7,5,1696,36.2,0
Risk,39582,25,83,9,4,10,1461,64.9,1
Operations,32630,1752,45,17,9,1,1399,85,1
Risk,40642,1001,81,1,9,1,497,55.7,1
Sales,36968,589,64,4,2,9,144,81.2,1
Sales,31198,1860,94,4,10,2,556,76.6,1
Sales,11155,426,96,18,10,7,725,-0.1,0
Sales,48397,1260,60,9,6,10,1939,57.9,1
Sales,30575,1973,94,18,4,4,1655,74.8,1
Sales,9859,45,98,14,8,7,1445,-20,0
Operations,37161,1858,55,15,7,8,1560,106.7,1
HR,40079,1048,70,6,7,5,550,82.5,1
Risk,42556,1005,53,10,10,1,1725,74.9,1
Sales,33772,1575,78,15,9,4,805,98,1
Operations,43081,409,67,4,5,10,273,53.8,1
Operations,15171,729,71,18,6,3,140,50.4,0
Operations,27548,590,67,18,1,10,1075,54.4,1
HR,11238,1491,90,17,6,5,680,97.5,0
Risk,26463,773,94,12,2,10,1821,45.1,1
HR,44454,165,88,7,6,10,1080,52.1,1
Finance,7273,1431,48,16,9,6,1732,69.4,0
Operations,37084,804,97,11,8,2,1385,72.2,1
Finance,30394,1292,84,14,9,7,1056,78.8,1
Customer Service,1217,545,61,3,10,3,1226,-20,0
Sales,12176,1505,71,18,8,1,1700,78.1,0
Sales,4934,32,44,10,3,10,1308,0.2,0
HR,38325,922,62,6,8,3,107,73.7,1
Risk,29600,403,44,13,6,9,1983,31.9,1
Finance,5494,575,81,10,6,10,1505,24.2,0
Risk,4734,906,92,18,6,6,65,83.2,0
HR,4264,1442,71,16,3,6,1435,105.3,0
Sales,44449,38,98,6,10,4,1162,30.7,1
Risk,37905,594,49,13,1,8,952,50.3,1
Risk,35372,1534,98,4,4,5,1574,68.5,1
Sales,42715,770,78,14,10,7,1490,42.1,1
Finance,23685,1023,97,1,6,9,1775,92,0
Sales,43942,438,54,5,10,5,1985,20.9,1
Risk,41653,1380,46,8,2,5,764,119.6,1
Finance,12499,438,68,12,7,4,1649,22.2,0
Finance,36987,1958,98,2,7,6,986,151.5,1
Sales,3081,1959,86,12,4,2,782,91.5,0
Risk,3263,1655,42,5,4,3,781,95.4,0
HR,27874,1718,58,5,1,1,813,116.3,1
Risk,39259,1971,49,13,2,2,763,110.2,1
Operations,11031,141,67,9,9,2,1089,-1.8,0
Customer Service,25807,451,68,10,10,8,1929,31.5,1
HR,31335,63,54,1,8,8,1551,-8.7,1
Finance,11564,1915,74,3,8,2,577,85.9,0
HR,11812,1963,45,18,9,6,545,71.4,0
Finance,38048,1360,51,12,7,5,616,72,1
Finance,37445,400,86,3,9,3,1874,31.6,1
HR,48437,164,77,9,10,5,859,17.5,1
Finance,6976,1370,52,2,2,5,22,91.4,0
Finance,25065,382,68,3,6,5,1071,24.5,0
Operations,2882,1093,58,14,3,3,1424,47.7,0
Risk,22963,1108,42,4,6,3,176,87.2,0
Risk,45776,374,47,13,3,4,874,85,1
Customer Service,33902,819,47,7,8,7,1957,45.7,1
Customer Service,26845,1207,94,12,4,2,1974,73.9,1
Operations,45264,1184,97,3,10,10,530,116.2,1
Customer Service,27446,845,59,9,6,4,1376,59.3,1
HR,14662,1171,86,2,9,4,1887,42.8,0
Sales,49654,417,43,9,2,1,706,40.5,1
Sales,47273,1976,90,12,2,10,1157,168.2,1
Sales,8897,899,60,12,7,8,1432,46.6,0
Operations,22835,482,42,15,2,1,1530,26.7,0
Operations,45595,1794,84,2,2,8,1886,123.8,1
Finance,14894,1879,47,18,4,7,1293,106.9,0
Sales,27697,827,62,13,9,9,590,44.4,1
HR,22510,206,55,14,8,8,734,32.8,0
Customer Service,24623,1763,52,5,2,5,1358,117.1,0
HR,22887,751,42,10,8,8,258,62.1,0
Customer Service,3390,1955,87,12,4,10,1277,133.8,0
Sales,28269,1233,48,10,2,3,322,78.2,1
Sales,44126,1431,99,11,10,10,626,92.9,1
Sales,8526,448,53,2,7,7,1010,50.6,0
Operations,3806,877,52,5,6,4,1696,26.3,0
Customer Service,34165,1327,92,7,10,5,353,67.9,1
Operations,9777,1907,96,6,5,9,132,131.1,0
Operations,42739,256,46,3,1,7,1664,25.4,1
Risk,48164,1237,54,13,2,4,381,100.2,1
HR,48508,1330,46,3,8,6,1900,50.4,1
HR,15183,790,77,6,1,10,820,95,0
Finance,1170,777,73,11,3,7,116,60.6,0
Operations,24175,155,80,17,2,10,1890,38.7,0
Customer Service,18389,811,61,10,5,9,35,84.3,0
Risk,45035,1826,63,12,4,4,575,145.6,1
Risk,13506,190,88,17,7,10,1997,27.8,0
HR,49036,178,76,4,5,3,395,39.9,1
Operations,27031,220,83,2,8,8,761,19.2,1
Finance,22139,1530,40,11,4,1,409,93.7,0
Operations,17133,1600,49,7,6,9,639,68,0
Sales,35160,981,82,2,4,1,1260,94.4,1
Operations,3939,1819,55,18,2,2,1442,80.9,0
Sales,32672,602,85,4,1,8,1303,64.9,1
Sales,36122,1547,47,8,1,9,843,115.6,1
Finance,12077,895,95,14,8,7,339,75.6,0
Customer Service,12263,390,88,12,4,3,215,56,0
HR,20676,122,64,18,5,7,1521,2.4,0
Operations,44886,1021,89,11,8,6,437,96.3,1
Sales,24755,1168,51,8,7,2,1518,47,0
Operations,41503,1356,64,2,8,3,626,84.9,1
Customer Service,20496,995,56,15,8,10,587,53.5,0
HR,35886,817,99,9,6,10,563,56.1,1
Customer Service,21562,1501,65,8,10,5,250,60.7,0
HR,36431,1273,85,5,2,10,903,113.5,1
Risk,36210,677,87,11,6,4,540,68.2,1
HR,35193,901,53,15,1,2,722,96.8,1
Finance,36240,1240,80,8,1,4,1916,88.1,1
Customer Service,12205,1928,75,8,3,8,1243,99.3,0
Sales,43908,752,96,18,3,5,865,85.4,1
Risk,28547,442,62,10,5,5,692,49.3,1
Finance,11466,591,82,7,1,10,1642,44.1,0
Operations,17874,1653,45,9,10,3,40,119,0
Customer Service,11638,190,86,1,6,8,1354,7.7,0
Sales,16435,1425,44,5,7,6,607,60.2,0
HR,46413,192,82,1,10,2,1996,23.9,1
Sales,989,682,64,15,3,2,917,25.5,0
Operations,45016,472,57,16,4,9,1696,21,1
Risk,22760,369,52,7,10,7,1681,-5.4,0
Risk,26569,1945,82,12,10,10,1806,71.5,1
Customer Service,19775,1995,53,8,10,9,1943,86.3,0
Risk,36784,1677,67,5,10,6,1639,79.6,1
Customer Service,39678,513,57,10,10,5,1477,17.2,1
Customer Service,33321,639,98,5,3,1,390,86.7,1
Customer Service,17499,1047,99,17,1,6,1603,112.8,0
HR,39212,1136,96,5,8,6,1934,57.8,1
Finance,40672,938,67,15,10,3,97,108.9,1
Customer Service,34222,25,90,13,10,3,1585,14.5,1
Customer Service,11125,307,95,1,2,3,1328,28.9,0
Finance,2129,1661,66,11,1,3,667,96.9,0
Sales,11473,1189,71,1,8,7,159,79.7,0
Customer Service,7359,1826,86,11,7,10,572,85.4,0
HR,42109,1467,48,18,7,2,1017,78.1,1
Risk,43807,1933,79,18,4,10,301,145.7,1
Risk,45950,627,71,16,9,10,1605,42.1,1
Operations,36546,476,59,13,6,2,1301,21.4,1
Operations,22339,1784,67,7,2,3,1866,91.3,0
Risk,27716,1245,72,1,1,10,1403,75.9,1
Risk,19445,1255,43,16,1,7,459,96.3,0
HR,7039,1049,85,1,9,3,289,65.8,0
Finance,34125,643,96,17,4,7,1177,77,1
Operations,5386,395,73,6,5,9,765,0.1,0
Finance,46213,1934,87,2,3,10,1683,116.7,1
HR,7985,466,42,17,4,4,123,23.9,0
Risk,31955,854,65,6,8,7,785,86.8,1
Customer Service,46948,1149,47,14,4,9,114,113.6,1
Finance,17267,1694,45,18,9,8,1892,91.9,0
Risk,47665,830,55,6,9,8,748,102.9,1
Risk,28953,1444,63,10,6,9,1616,93.6,1
Sales,11244,1139,87,18,2,5,499,101.3,0
Finance,37602,1431,78,9,10,5,799,108.5,1
Customer Service,12726,978,69,8,7,3,1284,59.8,0
Finance,28369,1495,84,10,9,5,32,71.8,1
Risk,23088,868,52,17,6,8,1190,38.4,0
Customer Service,13940,828,44,6,3,5,1983,38.2,0
HR,32209,998,64,14,7,4,1795,51,1
Sales,48288,1944,59,6,5,8,620,108,1
Risk,22995,435,93,7,1,7,114,42.1,0
Operations,37519,745,57,12,3,6,1870,36,1
Operations,45448,1547,86,3,5,5,312,137.2,1
Sales,49408,473,57,14,7,5,44,62.9,1
HR,1422,1334,41,16,3,10,1315,94,0
Risk,28026,1577,49,7,6,2,1548,67.4,1
Finance,8457,1236,94,8,5,4,1209,88.1,0
Sales,49064,169,84,18,1,8,958,8.2,1
HR,34498,1923,89,13,10,8,781,113.9,1
Finance,43895,778,86,9,6,1,1130,56.1,1
Operations,24531,798,51,10,8,2,673,12.3,0
Operations,10506,992,86,9,1,5,1689,48.6,0
Finance,38201,782,52,15,2,9,1004,74.4,1
Sales,47563,1021,89,2,4,10,1834,84.5,1
Operations,26439,1558,86,13,2,7,657,120.2,1
Risk,49645,1436,96,2,9,10,1871,92.8,1
Customer Service,20824,1359,94,2,10,5,510,102.1,0
Finance,23367,95,50,3,8,1,1951,-13,0
Finance,703,618,58,6,8,6,1184,31.3,0
Operations,17044,1313,74,3,4,8,1911,43.8,0
Sales,16399,244,78,10,5,7,1146,34.1,0
Risk,29563,1573,92,6,4,2,1269,83.6,1
Sales,25844,132,65,16,9,5,1945,-9,1
HR,4248,270,85,17,2,4,594,44.4,0
HR,39986,1276,53,3,8,9,313,78.4,1
Customer Service,1593,860,93,18,2,10,915,52.6,0
Operations,15728,1834,84,7,1,1,1349,86.3,0
Operations,21384,733,83,9,10,6,1297,47.1,0
Operations,25683,1126,63,12,3,3,1223,67.7,1
Customer Service,16534,144,80,5,9,9,59,40.2,0
HR,6210,1218,40,3,3,5,795,57.3,0
Sales,43000,1112,90,11,9,6,1744,58.1,1
Customer Service,19759,1090,82,4,7,9,539,57.3,0
Customer Service,36459,903,94,5,10,9,1659,78.5,1
Sales,33957,1299,61,1,1,8,1780,72.5,1
Operations,20643,1770,62,18,10,9,565,75.1,0
Risk,2603,49,95,12,5,4,255,16.3,0
Sales,865,300,93,13,9,6,482,25.6,0
HR,47278,943,58,9,3,5,1271,71,1
Finance,45035,1280,57,2,9,5,1743,53.8,1
Finance,16603,1291,51,5,5,4,1868,74.2,0
Customer Service,33010,387,94,13,9,2,502,31.9,1
Finance,24976,514,67,16,10,6,449,29,0
Risk,13242,1068,67,16,6,9,1065,60.6,0
Operations,12891,1629,99,3,9,1,362,102.3,0
HR,37440,737,98,4,7,7,1083,42.9,1
Risk,29401,1533,72,11,7,6,1216,69.4,1
HR,32501,1036,58,14,8,3,1482,18.7,1
HR,16123,1537,67,3,7,1,1222,54,0
Operations,2878,1357,98,16,9,4,1641,41.7,0
Customer Service,21872,625,91,15,9,9,152,67.5,0
Finance,45299,394,100,10,6,2,370,71.3,1
Operations,38937,658,88,9,7,3,1568,29.9,1
Risk,36003,1980,76,11,2,2,1583,116.2,1
Customer Service,31246,1068,65,16,9,2,525,86.2,1
Risk,28423,1377,74,10,1,10,103,103.8,1
Customer Service,10367,1398,73,17,1,8,1012,70.7,0
Risk,41758,135,74,2,3,3,1507,66.6,1
Operations,34224,67,79,2,6,7,849,33.5,1
Customer Service,9806,1781,55,6,5,8,880,73.6,0
Customer Service,39891,1821,77,8,2,3,362,148.1,1
HR,15408,118,52,3,9,2,1323,8.6,0
HR,27581,1502,62,14,10,8,885,43.9,0
Sales,37728,1566,99,16,4,3,1306,110.9,1
Risk,23886,1640,93,1,4,7,1209,120.7,0
HR,47254,424,61,3,5,1,312,55.3,1
Sales,45906,1257,55,18,8,6,1552,19.3,1
HR,28802,704,67,9,10,9,1623,41.5,1
Risk,19712,922,87,6,4,3,1269,69.4,0
Customer Service,36118,522,74,1,5,7,1213,31,1
Finance,46567,1764,99,10,4,6,617,125,1
Risk,11198,1491,84,6,6,8,664,132.3,0
Operations,5094,913,85,12,3,3,467,77.1,0
HR,26025,1619,47,4,8,3,709,64.3,0
HR,14782,277,83,13,6,4,1021,30.4,0
Customer Service,49553,863,94,17,10,3,874,82.4,1
Operations,14834,140,94,8,5,9,521,36,0
Customer Service,29679,829,61,3,2,4,783,38.4,1
Operations,7144,997,60,12,10,6,1570,38.2,0
Finance,36118,73,65,7,10,8,754,35.3,1
HR,48201,1038,79,12,7,8,1422,94.4,1
HR,33433,1374,60,2,2,5,1244,83.9,1
Finance,43969,803,64,14,1,5,1662,88.8,1
Sales,34187,260,80,5,7,6,269,60.6,1
Customer Service,41573,1798,40,9,5,10,1992,100.2,1
Finance,17875,1573,45,11,1,7,1452,95,0
Customer Service,48983,502,62,5,4,10,620,77.1,1
Risk,31426,1032,90,3,4,7,144,63.2,1
HR,37107,206,62,17,10,4,132,35.7,1
Customer Service,18142,1901,82,2,7,6,1000,135.8,0
Operations,24493,675,82,1,9,7,1180,38.8,0
Customer Service,44886,281,62,7,2,5,1802,18.4,1
Risk,46787,972,71,14,1,5,1539,93.2,1
HR,21688,1407,69,5,2,2,1721,110.4,0
Finance,33096,510,52,11,7,7,169,40.7,1
Risk,28272,450,82,2,10,6,894,34.1,1
HR,31357,258,57,8,6,1,362,44.3,1
Customer Service,11276,323,62,9,4,4,1988,-1.9,0
Sales,33335,317,54,3,1,3,599,45.7,1
Sales,10288,95,72,2,1,3,1776,23.4,0
Operations,6160,1743,60,7,5,7,802,97.7,0
HR,4978,1376,96,5,1,10,340,134.4,0
Sales,8710,1943,78,5,7,4,841,90.2,0
Finance,11422,1018,62,13,1,8,1969,60.1,0
HR,36789,1801,66,6,1,9,1904,111,1
Finance,33840,661,84,18,2,3,551,75.3,1
Finance,40350,1517,83,2,10,5,1332,77.8,1
Sales,38663,846,57,6,3,4,1532,49,1
HR,48675,1966,63,9,1,10,511,156,1
Customer Service,19142,302,90,3,9,6,631,45.5,0
Risk,11594,610,86,1,10,10,271,58.4,0
Sales,22923,91,79,1,8,4,1120,11,0
Sales,33918,1306,90,5,5,8,1690,82,1
Customer Service,6241,722,81,13,2,3,1435,61,0
HR,46549,1922,46,12,5,5,1455,68.8,1
HR,7338,1930,89,16,6,1,192,138.6,0
Finance,3762,1985,87,3,1,6,894,116.7,0
Customer Service,5496,594,59,12,4,5,220,33.9,0
Customer Service,45094,1019,66,5,9,8,236,98.4,1
HR,22664,911,45,2,2,9,395,87.2,0
Finance,36095,31,66,7,5,8,1763,-1.3,1
Sales,30757,160,48,13,1,8,1629,3.1,1
Operations,14711,1809,92,15,4,3,30,123.9,0
Risk,30953,1598,84,3,4,4,1842,120.6,1
Sales,5732,36,96,5,6,4,1811,3.4,0
HR,2717,1106,70,8,10,5,1055,23.5,0
Risk,24729,272,60,1,9,9,911,44.9,0
Operations,14732,484,65,8,3,9,1633,52.4,0
Operations,26113,395,79,18,9,10,454,32.2,1
Finance,14526,1847,87,16,6,1,1727,126.6,0
Risk,29054,1000,84,18,7,8,1651,63.9,1
Finance,31408,539,52,12,10,1,837,45.1,1
Sales,20110,1880,88,13,2,2,1416,145.8,0
Customer Service,47146,109,62,13,10,7,1316,-19.3,1
Customer Service,40105,739,59,10,6,8,950,64.3,1
Customer Service,7531,823,76,7,6,1,1940,60.5,0
Risk,48074,815,93,14,2,3,1968,40.5,1
Customer Service,26015,649,92,16,2,7,710,46.6,1
Sales,36984,1904,67,15,2,9,1619,103.4,1
Finance,36682,1218,56,12,10,8,1552,59.7,1
Risk,1070,95,67,9,1,8,1175,24.3,0
Finance,32754,1656,80,8,5,9,874,80.3,1
Risk,19788,945,41,18,8,10,1967,34.6,0
Finance,13788,1706,64,18,2,3,803,96.4,0
Operations,30377,419,97,13,5,8,338,63.3,1
Finance,19389,1825,89,18,8,1,863,106.2,0
Customer Service,1417,989,80,15,10,8,1992,31.9,0
Operations,10566,1114,45,4,5,7,1896,56,0
Finance,30004,1223,50,17,2,8,640,69.9,1
Risk,7482,1167,96,5,3,1,804,69.1,0
Risk,39604,1424,100,16,6,6,1211,95.8,1
Risk,18562,1336,77,9,5,7,416,118.3,0
HR,17499,816,45,10,4,5,1223,42.9,0
Sales,10441,214,84,18,4,5,1101,9.8,0
Risk,23970,1954,50,17,5,7,1523,109.4,0
Operations,45648,247,53,18,2,3,1976,44.7,1
Risk,21633,1474,41,7,9,6,1634,66,0
HR,44935,1985,79,4,2,7,479,111.6,1
Customer Service,5029,1479,42,5,10,1,80,75.2,0
Operations,18019,1830,94,16,2,2,388,150.1,0
HR,12692,480,92,3,10,4,1164,6.2,0
Customer Service,9066,637,74,18,9,8,738,34.6,0
Operations,7726,1064,72,14,3,10,565,64.9,0
Finance,38430,83,63,15,10,6,1625,6.1,1
Sales,49858,184,58,17,7,1,1060,15.1,1
Sales,21759,46,57,1,4,10,515,19.5,0
HR,34587,1354,88,17,6,5,516,108.9,1
Customer Service,1641,1031,91,11,4,7,524,71.2,0
Sales,5127,304,100,17,10,6,1575,9.6,0
Customer Service,47769,1703,63,14,7,9,988,85.5,1
Customer Service,3190,300,84,7,1,8,1358,38.9,0
HR,40591,857,74,13,3,4,1112,50.7,1
HR,3755,850,40,18,3,5,1770,36.3,0
HR,5713,1207,75,14,1,7,180,98.6,0
Sales,37376,1941,64,1,6,8,1657,95,1
HR,19904,937,84,7,9,5,1931,54.7,0
Sales,25880,243,88,8,8,9,737,42.2,1
HR,26020,803,99,18,7,10,1188,31.1,1
Risk,19673,1189,82,9,10,4,1612,72.9,0
Customer Service,24489,984,73,1,8,4,1638,64,0
HR,43070,969,64,17,6,8,1012,81.9,1
Operations,25019,1911,55,6,9,1,1428,94.9,0
Customer Service,22939,1073,73,3,3,8,288,55,0
Customer Service,11913,64,68,5,10,5,1966,4.2,0
HR,15495,1830,58,2,10,1,1497,84,0
Finance,24059,490,62,4,9,4,718,48.9,0
HR,45851,53,58,10,4,2,1561,35,1
Customer Service,24013,672,64,10,7,4,884,64.4,0
Operations,5521,1470,55,11,9,8,369,63.2,0
Customer Service,32964,849,93,16,2,5,129,98.9,1
Operations,21619,1929,90,17,2,1,1526,100.9,0
Sales,29799,240,48,16,9,7,426,13.3,1
Risk,39850,1911,40,7,3,1,669,99.7,1
Customer Service,46723,553,81,16,9,9,70,32.9,1
HR,26017,711,58,3,5,3,1446,65,1
Sales,13617,1991,72,16,6,3,1606,126.4,0
Risk,22750,1410,73,8,2,6,1519,130.6,0
HR,19450,951,55,12,8,10,1130,46.3,0
Finance,17859,860,83,3,9,6,1111,51.9,0
HR,24096,1786,79,17,2,6,615,131.4,0
Operations,26030,1030,94,18,6,1,998,101.3,1
Operations,1762,1958,57,11,6,5,1085,86.3,0
Finance,40650,1593,73,4,8,6,750,99.4,1
Sales,23115,601,64,16,10,8,76,62.2,0
Risk,3827,1159,100,17,5,1,757,81,0
HR,30268,258,84,9,9,5,215,45.9,1
Operations,29350,1378,45,6,1,3,1803,94.5,1
Sales,43288,460,60,2,9,2,1721,8.7,1
Finance,17348,167,97,9,10,8,1105,28.5,0
Customer Service,47330,1052,45,6,7,7,1306,44.7,1
Operations,40042,1331,71,3,4,10,131,92.4,1
Finance,15660,407,80,6,3,7,784,68.2,0
HR,34498,1093,87,7,10,5,730,58.6,1
Risk,27730,1893,82,1,6,9,1221,117.8,1
Operations,9576,1560,78,1,1,5,967,109.6,0
Operations,4305,935,70,5,3,2,45,73.4,0
HR,31585,1898,81,6,2,3,429,123.5,1
Customer Service,15215,657,49,13,9,4,777,4.6,0
